tieu_de,gia_raw,dientich_raw,vitri_raw,link,listing_id
Cho thuê CH Scenic Valley 1. DT 71m2 thiết kế 2 phòng ngủ-2WC- nội thất đầy đủ- giá 16 triệu/tháng,16 triệu/tháng,71 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/cho-ch-1-dt-71m2-thiet-ke-2-phong-ngu-2wc-noi-that-day-du-gia-16-trieu-thang-pr43744210,43744210
Cho thuê nhiều CH tại Sky Garden 3. DT từ 56m2 đến 91m2- Đủ nội thất- Giá cạnh tranh. LH0906 879 ***,"13,5 triệu/tháng",72 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-van-nghi-phuong-tan-phong-9-prj-sky-garden-3/cho-nhieu-ch-tai-3-dt-tu-56m2-den-91m2-du-noi-that-gia-canh-tranh-lh-pr43347218,43347218
"Cho thuê căn hộ Scenic Valley 71m2, 2PN - 2WC, full nội thất nhà mới đẹp",16 triệu/tháng,71 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/c-71m2-2pn-2wc-full-noi-that-nha-moi-dep-pr44009712,44009712
CHO THUÊ NHANH CĂN 2PN 2WC 68M2 14 TRIỆU,"12,5 triệu/tháng",70 m²,"Tân Thuận Tây, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/cho-nhanh-2pn-2wc-68m2-14-trieu-pr43985430,43985430
"Cho thuê căn hộ Quận 7, 1PN + , view sông thoáng mát, 8.8 tr/tháng","8,8 triệu/tháng",53 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/c-quan-7-1pn-view-song-tang-mat-8-8tr-thang-pr44009001,44009001
"Cho thuê căn hộ Luxcity Quận 7, 67m2, 2PN, 2WC",11 triệu/tháng,67 m²,"Bình Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-huynh-tan-phat-phuong-binh-thuan-3-prj-can-ho-luxcity/c-quan-7-67m-2pn-2wc-pr43867249,43867249
"Cần cho thuê căn hộ D-vela Quận 7. 70m2, 2PN, 2WC. Gía siêu rẻ","10,5 triệu/tháng",70 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-huynh-tan-phat-phuong-phu-thuan-3-prj-d-vela/-c-quan-7-70m-2pn-2wc-gia-sieu-pr42544327,42544327
"Cho thuê căn hộ 2PN Q7 Riverside giá từ 9tr/tháng NTCB, vào ở ngay LH0886 277 ***",9 triệu/tháng,68 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/c-1pn-gia-8-trieu-thang-ntcb-vao-o-ngay-pr42657621,42657621
"Bạn đang cần Q7 Riverside 3PN có nội thất 11.5tr, rất nhiều căn đi xem 1 lần0911 850 ***","11,5 triệu/tháng",85 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/-cho-2pn-2wc-full-nt-10tr-lh-0965431233-pr35409212,35409212
Cho thuê căn hộ tại dự án Sky89 - tư vấn song ngữ - giá thuê tốt nhất thị trường,12 triệu/tháng,65 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-sky-89/c-tai-du-an-sky89-tu-van-song-ngu-gia-tot-nhat-thi-truong-pr43080212,43080212
Bảng giá thuê căn hộ River Panorama - Giá chỉ từ 10 triệu - sở hữu hồ bơi vô cực đẹp nhất Quận 7,10 triệu/tháng,65 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-river-panorama/bang-gia-gia-chi-tu-9-trieu-so-huu-boi-vo-cuc-dep-nhat-quan-7-pr42094295,42094295
"Cập nhật list căn hộ 2PN, cho thuê tại SKY89 - english support - MR Thành0905 284 ***",12 triệu/tháng,72 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-sky-89/cap-nhat-list-1pn-2pn-3pn-c-tai-sky89-english-suport-mr-thanh-pr43951204,43951204
Minh Thành chuyên cho thuê căn hộ Q7 Riverside - chỉ đăng tin thật - hỗ trợ quý khách 24/7,9 triệu/tháng,66 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/minh-thanh-chuyen-c-chi-dang-tin-that-tro-quy-khach-24-7-pr40898676,40898676
Em Thành chuyên cho thuê Q7 Riverside giá rẻ nhất thị trường - sẵn key xem nhà. Liên hệ:0905 284 ***,10 triệu/tháng,66 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/em-thanh-chuyen-cho-gia-re-nhat-thi-truong-san-key-xem-nha-lien-he-pr39794002,39794002
Cho thuê căn hộ Eco Green 3PN 2WC giá thuê từ 16.5 triệu - 20.5 triệu - LH:0932 879 ***,"16,5 triệu/tháng",87 m²,"Tân Thuận Tây, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/c-3pn-2wc-gia-tu-16-trieu-17-5-trieu-lh-pr43355013,43355013
Cho thuê căn hộ Sunrise City View 2PN + 2WC 15tr/tháng giá tốt,15 triệu/tháng,76 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/c-the-2pn-2wc-15tr-thang-gia-tot-pr40403405,40403405
Cho thuê studio City View Q7 - DT 38m2 - nhà như hình,11 triệu/tháng,35 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/cho-studio-q7-dt-38m2-nha-nhu-hinh-pr43686702,43686702
"Cho thuê căn hộ Florita Q7, 2PN 2WC, 77m2, giá 15tr/th (TL) full nội thất",15 triệu/tháng,77 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-hung-14-prj-can-ho-florita/c-q7-2pn-2wc-71m2-gia-13tr-th-tl-full-noi-that-pr33387775,33387775
Em cần cho thuê căn hộ Florita Q7 - 2PN 2WC,13 triệu/tháng,70 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-hung-14-prj-can-ho-florita/em-c-q7-2pn-2wc-pr43724950,43724950
Cần cho thuê studio full nội thất Q7 - 9.5tr,"9,5 triệu/tháng",40 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-hung-14-prj-can-ho-florita/-cho-sudio-full-noi-that-q7-10tr-pr41607768,41607768
"Cho thuê căn hộ cao cấp the Horizon Q7 - view đẹp, nhà mới tinh! 121m2 - LH0946 288 ***","82,99 triệu/tháng",121 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-tran-van-tra-phuong-tan-phu-19-prj-the-horizon-phu-my-hung/c-cao-cap-rizon-q7-view-dep-nha-moi-tinh-121m2-60tr-th-lh-pr43257392,43257392
"Cho share 1 phòng trong căn hộ 60m Mỹ Thái 2 PMH tại đường số 3 ,phường Tân Mỹ , 6tr5/tháng",12 triệu/tháng,60 m²,"Phú Mỹ, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-my-9-prj-chung-cu-phu-my/cho-gap-cc-2pn-1wc-tai-12-trieu-60m2-pr43517921,43517921
"cho thuê căn hộ Ngọc Lan thuộc khu Nam Long Phú Thuận, quận 7, 130m2, giá 12tr/tháng",12 triệu/tháng,130 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-4-phuong-phu-thuan-3-prj-ngoc-lan-apartment/c-thuoc-khu-nam-long-quan-7-130m2-gia-12tr-thang-pr43854495,43854495
"CHO THUÊ CĂN HỘ BELLEZA Q7-88M2,2PN+CĂN GÓC+VIEW SÔNG+ NỘI THẤT CAO CẤP-GIÁ :12TR / THÁNG.",12 triệu/tháng,88 m²,"Phú Mỹ, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-huu-lau-phuong-phu-my-9-prj-belleza-apartment/c-q7-88m2-2pn-goc-view-song-noi-that-cao-cap-gia-12tr-thang-pr44000905,44000905
"CHO THUÊ CĂN HỘ BELLEZA Q7-102M2,3PN+LẦU CAO+ NT+ CĂN GÓC,Ở LIỀN-GIÁ : 13TR / THÁNG .",13 triệu/tháng,102 m²,"Phú Mỹ, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-huu-lau-phuong-phu-my-9-prj-belleza-apartment/c-q7-102m2-3pn-cao-nt-goc-o-lien-gia-13tr-thang-pr44008098,44008098
Skyline cho thuê gấp 3PN 2WC 107m2 NTCB giá chỉ 14 triệu,14 triệu/tháng,107 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-le-thi-cho-phuong-phu-thuan-3-prj-an-gia-skyline/-gap-3pn2wc-112m2-ntcb-chi-14-5-trieu-pr43355381,43355381
"Q7 Riverside giỏ hàng cho thuê 2PN - 9tr/th NTCB view sông, hotline0704 589 ***",9 triệu/tháng,68 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/-gio-hang-cho-1pn-7tr-2pn-8tr-3pn-11tr-hotline-0968601023-pr35450235,35450235
"Cho thuê CC 3PN, 2WC, 150m2 giá tốt view đẹp tại Tân Phong, Q7, HCM",60 triệu/tháng,150 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phong-9/cho-cc-3pn-2wc-150m2-gia-tot-view-dep-tai-q7-hcm-pr43596953,43596953
Giỏ hàng Q7 Riverside cho thuê: 2PN từ 9tr. View sông mát mẻ LH0902 651 ***,9 triệu/tháng,67 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/chcc-1pn-1wc-gia-chi-4tr5-th-bot-loc-cho-khach-thien-chi-lh-0947853002-pr35037730,35037730
"Thuê CH Q7 Riverside căn 2PN đẹp giá từ 9tr/th có NTCB, nhiều căn nhiều view0938 826 ***",9 triệu/tháng,68 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/cho-ch-view-song-bao-dep-bao-mat-me-chi-6tr-o-lien-duoc-ngay-lh-0949920113-pr34521929,34521929
"Happy Valley 2PN + 1 Phòng Làm Việc  Full NT, Giá Chỉ Từ 23 Triệu/Tháng! LH0903 581 ***TRÂM",Giá thỏa thuận,100 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-happy-valley/-2pn-1-lam-viec-full-nt-gia-chi-tu-23-trieu-thang-lh-tram-pr44007810,44007810
"Cần Cho Thuê Scenic Valley 3PN  View Đẹp, Đầy Đủ Tiện Nghi  Chỉ Từ 26Tr/Tháng! LH0903 581 ***TRÂM",Giá thỏa thuận,100 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/-cho-3pn-view-dep-day-du-nghi-chi-tu-26tr-thang-lh-tram-pr44007764,44007764
Thật 100% cho thuê nhanh Sunrise City 3PN 3WC mới làm nội thất tone trắng sáng,22 triệu/tháng,140 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/that-100-cho-nhanh-3pn-2wc-moi-lam-noi-that-tone-trang-sang-pr37586094,37586094
"Scenic Valley 2PN, Full Nội Thất  Ở Ngay  Giá Siêu Mềm Chỉ Từ 17 Triệu! LH0903 581 ***Trâm",Giá thỏa thuận,77 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/-2pn-full-noi-that-o-ngay-gia-sieu-mem-chi-tu-17-trieu-lh-tram-pr44007694,44007694
"Cần cho thuê căn hộ Hoàng Anh Gia Lai 2, Q7, 3PN, 3WC, ĐĐTN, giá: 12tr/tháng. LH:0902 597 ***Hoa",12 triệu/tháng,118 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-pho-tran-xuan-soan-phuong-tan-hung-14-prj-hoang-anh-gia-lai-2/-c-ang-2-q-7-3pn-3wc-ddtn-13-5tr-thang-lh-a-pr42734378,42734378
"Chính chủ gửi cho thuê căn hộ 105m2, 3PN - 24 tr/tháng tại Sunrise City View - LH0932 744 ***",24 triệu/tháng,105 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/chinh-chu-gui-c-100m2-2pn-nha-moi-20tr-thang-tai-south-lh-pr40841443,40841443
"Cho thuê căn hộ Hưng Phúc 2PN, 2WC, 18.5 triệu, 78m2, đầy đủ nội thất","18,5 triệu/tháng",78 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-chung-cu-hung-phuc/c-2pn-2wc-19-trieu-78m2-day-du-noi-that-pr43816998,43816998
CHO THUÊ OFFICETEL SUNRISE CITY VIEW GIÁ CHỈ 13 TRIỆU/THÁNG,13 triệu/tháng,38 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/cho-officetel-gia-chi-13-trieu-thang-pr43987600,43987600
Cho thuê căn hộ 2PN giá rẻ 17 tr/tháng tại Sunrise City View Quận 7 (gần RMIT). LH:0932 744 ***,17 triệu/tháng,76 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/c-1-2-3-4pn-ot-penuse-tai-quan-7-gan-rmit-lh-pr40210315,40210315
RIVER PANORAMA 3PN FULL NỘI THẤT ĐẸP VIEW THOÁNG GÂN PHÚ MỸ HƯNG GIÁ CHỈ 18 TRIỆU,18 triệu/tháng,90 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-river-panorama/-3pn-full-noi-that-dep-view-thoang-gan-my-hung-gia-chi-18-trieu-pr44007371,44007371
"Cho thuê căn hộ Hưng Phúc (Happy Residence), PMH, Q7, nhà đẹp, full nội thất, giá 17tr/tháng",17 triệu/tháng,78 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-chung-cu-hung-phuc/c-happy-residence-pmh-q7-nha-dep-full-noi-that-gia-17tr-thang-pr43988044,43988044
"Cho thuê 2PN Sky89 Quận 7, nhà sẵn nội thất mới giá thuê 14 triệu/tháng -0939 220 ***",14 triệu/tháng,"64,5 m²","Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-sky-89/cho-2pn-sky89-quan-7-nha-san-noi-that-moi-gia-14-trieu-thang-pr43820404,43820404
Cho thuê 69m2 An gia riverside quận 7 view sông giá 12.5 tỷ lầu cao đẹp -0939 220 ***,"12,5 triệu/tháng",69 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-an-gia-riverside/cho-69m2-qu-7-view-song-12-5-ty-lau-cao-dep-pr43956918,43956918
cho thuê căn hộ 3pn- Góc có Nt-view sông - Cc BellezaQ7- Dt 102m2- Giá 13 triệu,13 triệu/tháng,102 m²,"Phú Mỹ, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-huu-lau-phuong-phu-my-9-prj-belleza-apartment/c-3pn-goc-co-nt-view-song-cc-bellezaq7-dt-102m2-gia-13-trieu-pr44007001,44007001
"LAVIDA Quận 7- Căn hộ chỉ 11 triệu có view city thoáng đẹp, ban công rộng rãi ở liền",11 triệu/tháng,37 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/-quan-7-chi-11-trieu-co-view-city-tang-dep-ban-cong-rong-rai-o-lien-pr44001087,44001087
"Chính chủ cho thuê căn hộ cao cấp Lavida Q7, 2PN 2WC, full nội thất, giá chỉ 15.9 triệu/tháng",16 triệu/tháng,74 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/chinh-chu-c-cao-cap-q7-2pn-2wc-full-noi-that-gia-chi-15-9-trieu-thang-pr43945409,43945409
"Chuyên cho thuê CH Sunrise City View giá tốt nhất thị trường OT, 1PN, 2PN, 3PN, LH0939 308 ***Hậu",11 triệu/tháng,76 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/chuyen-c-gia-tot-nhat-thi-truong-officetel-1pn-2pn-3pn-pr29319860,29319860
"Cần cho thuê Midtown M8 PMH, 34tr/tháng, Full Nội thất, 79m2-2PN-2WC.0966 733 ***",34 triệu/tháng,79 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-the-peak/-cho-midtown-m8-pmh-34tr-thang-full-noi-that-79m2-2pn-2wc-pr44006775,44006775
"Cho thuê chung cư Him Lam Riverside Quận 7, 78m2, 2PN, giá 12tr, Ms Viêm0938 971 ***",14 triệu/tháng,78 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-d1-phuong-tan-hung-14-prj-him-lam-riverside/cho-quan-7-78m2-2pn-nha-trong-ms-viem-pr43554171,43554171
Cho thuê căn hộ 2PN 2WC NTCB SunShine Sky City Giá tốt,12 triệu/tháng,70 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/c-2pn2wc-ntcb-gia-tot-pr40615733,40615733
Cho thuê căn 2PN 2WC full NT Sunshine Sky City,15 triệu/tháng,70 m²,"Phú Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-phu-thuan-phuong-phu-thuan-3-prj-sunshine-sky-city/cho-2pn2wc-full-nt-city-pr43549336,43549336
"Cho thuê căn hộ Ascent Lakeside 93m², 2PN, 2WC nội thất cơ bản nhà mới 100%",13 triệu/tháng,93 m²,"Tân Thuận Tây, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-ascent-lakeside/c-93m-2pn-2wc-noi-that-co-ban-nha-moi-100-pr43615062,43615062
"Cho thuê căn hộ 2PN 2WC The Golden Star, Quận 7. Full nội thất cao cấp, giá 12tr/tháng",12 triệu/tháng,70 m²,"Bình Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-thi-thap-phuong-binh-thuan-3-prj-the-golden-star/c-2pn-2wc-quan-7-full-noi-that-cao-cap-gia-12tr-thang-pr20363061,20363061
"Hình thật, giá thật: 20 triệu, 80m2, 2pn, 2wc, full. Cho thuê CHCC Hưng Phúc - Happy Residence, Q7",20 triệu/tháng,80 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-chung-cu-hung-phuc/hinh-that-gia-that-20-trieu-80m2-2pn-2wc-full-cho-chcc-happy-residence-q7-pr44006537,44006537
Cho thuê CH Belleza nhà trống: 3PN 2wc giá 13tr Lh:0917 174 ***,13 triệu/tháng,105 m²,"Phú Mỹ, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-pham-huu-lau-phuong-phu-my-9-prj-belleza-apartment/cho-ch-nha-trong-1pn-5-5tr-2pn-7tr-8tr-3pn-10tr-full-noi-that-3pn-12tr-1-thang-pr34174259,34174259
Cho thuê Hưng Phúc 2PN View Biệt Thự Gía 19tr full nội thất.lh:0932 747 ***THÀNH TÂM,19 triệu/tháng,78 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-chung-cu-hung-phuc/cho-2pn-view-biet-thu-gia-19tr-full-noi-that-lh-thanh-tam-pr43974408,43974408
"Cần cho thuê căn hộ Antoni, Phú Mỹ Hưng, 81m2, giá 23tr/tháng-2p-2wc,nội thất full. lh0966 733 ***",23 triệu/tháng,81 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-the-antonia/-c-antoni-my-hung-81m2-gia-23tr-thang-2p-2wc-noi-that-full-lh-pr44006367,44006367
"CHO THUÊ CĂN HỘ CAO CẤP CARDINAL COURT  PHÚ MỸ HƯNG, QUẬN 7 DT 76M2 CÓ 2PN FULL NT 26TR",27 triệu/tháng,76 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-phu-19-prj-cardinal-court/c-cao-cap-my-hung-quan-7-dt-76m2-co-2pn-full-nt-26tr-pr44006274,44006274
Căn hộ Docklands cho thuê nhà mới sạch sẽ vào ở được ngay .LH:0909 448 ***Hiền,15 triệu/tháng,108 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-thi-thap-phuong-tan-phu-19-prj-docklands-sai-gon/-nha-trong-c-108m2-3pn-2wc-goc-lh-hien-pr41933759,41933759
"Cho thuê căn hộ Hưng Phúc 1, quận 7. 76m2- 2PN-2WC, nội thất Full. Giá : 19tr/tháng (Thương lượng)",19 triệu/tháng,76 m²,"Tân Phú, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-chung-cu-hung-phuc/c-1-quan-7-76m2-2pn-2wc-noi-that-full-gia-19tr-thang-thuong-luong-pr44006057,44006057
"CĂN HỘ NHƯ ẢNH - 13 TRIỆU, 1PN RIÊNG TƯ, 2WC, FULL NỘI THẤT XỊN, ĐẦY GIỎ HÀNG CHO THUÊ 2PN 3PN",13 triệu/tháng,72 m²,"Bình Thuận, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-thi-thap-phuong-binh-thuan-3-prj-the-golden-star/-nhu-anh-13-trieu-1pn-rieng-tu-2wc-full-noi-that-xin-day-gio-hang-c-2pn-3pn-pr44005977,44005977
"CĂN HỘ NHƯ ẢNH ĐĂNG : 21 TRIỆU TL - 2PN 2WC FULL NỘI THẤT XỊN , CÒN NHIỀU CĂN 2PN 3PN",21 triệu/tháng,76 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/-nhu-anh-dang-21-trieu-tl-2pn-2wc-full-noi-that-xin-con-nhieu-2pn-3pn-pr44005950,44005950
"CĂN HỘ NHƯ ẢNH ĐĂNG : 12 TRIỆU CHỐT - 2PN 2WC NỘI THẤT CƠ BẢN MỚI ĐẸP, CÒN NHIỀU CĂN 1PN 2PN 3PN",12 triệu/tháng,80 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/-nhu-anh-dang-12-trieu-ct-2pn-2wc-noi-that-co-ban-moi-dep-con-nhieu-1pn-2pn-3pn-pr43969632,43969632
"Cần cho thuê căn hộ 2PN chung cư Phú Mỹ Vạn Phát Hưng giá tốt, căn góc vị trí đẹp, an toàn, nhà đẹp",14 triệu/tháng,88 m²,"Phú Mỹ, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-my-9-prj-chung-cu-phu-my/-c-2pn-van-phat-hung-gia-tot-goc-vi-tri-dep-an-toan-pr42743642,42743642
"Cần cho thuê Sunrise CityView full nội thất phòng ngủ riêng ở liền ngay, tầng cao",11 triệu/tháng,38 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/-cho-cityview-full-noi-that-phong-ngu-rieng-o-lien-ngay-tang-cao-pr43832699,43832699
"Sunrise CityView_ Cần Cho Thuê Nhà Mới 100% Tầng Cao, View Đẹp Full Nội Thất",11 triệu/tháng,43 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city-view/-city-cho-nha-moi-100-tang-cao-dep-full-noi-that-pr43889660,43889660
"Căn hộ như ảnh đăng - 10 triệu, 1PN Studio, 1WC full NT, còn nhiều căn. Cho thuê CHCC Florita, Q7",10 triệu/tháng,40 m²,"Tân Hưng, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-phuong-tan-hung-14-prj-can-ho-florita/-nhu-anh-dang-10-trieu-1pn-studio-1wc-full-nt-con-nhieu-c-chcc-q7-pr44005837,44005837
"Cho thuê Lavida Plus Quận 7 - 2PN2WC 74m2 đầy đủ nội thất giá gần RMIT, TDTU - LH0772 605 ***Phụng",16 triệu/tháng,74 m²,"Tân Phong, Quận 7",https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/cho-quan-7-2pn2wc-74m2-day-du-noi-that-gia-gan-rmit-tdtu-lh-phung-pr43915682,43915682
